"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-1","237.50","232.50","240.00","230.00","","2.15%"
"2023-4-1","232.50","272.50","275.00","230.00","","-14.68%"
"2023-3-1","272.50","327.50","330.00","270.00","","-17.55%"
"2023-2-1","330.50","397.50","400.00","328.00","","-17.27%"
"2023-1-1","399.50","427.50","430.00","397.00","","-6.55%"
"2022-12-1","427.50","457.50","460.00","425.00","","-6.76%"
"2022-11-1","458.50","459.50","463.00","456.00","","0.22%"
"2022-10-1","457.50","444.50","460.00","442.00","","3.39%"
"2022-9-1","442.50","412.50","445.00","410.00","","7.27%"
"2022-8-1","412.50","417.50","420.00","395.00","","-1.20%"
"2022-7-1","417.50","459.50","462.00","415.00","","-9.73%"
"2022-6-1","462.50","507.50","510.00","460.00","","-8.87%"
"2022-5-1","507.50","547.50","560.00","505.00","","-8.97%"
"2022-4-1","557.50","577.50","580.00","555.00","","-3.46%"
"2022-3-1","577.50","561.50","580.00","559.00","","3.77%"
"2022-2-1","556.50","527.50","559.00","518.00","","7.54%"
"2022-1-1","517.50","472.50","520.00","470.00","","11.17%"
"2021-12-1","465.50","400.50","468.00","398.00","","16.23%"
"2021-11-1","400.50","390.50","403.00","388.00","","3.35%"
"2021-10-1","387.50","337.50","390.00","335.00","","14.81%"
"2021-9-1","337.50","315.50","340.00","308.00","","6.97%"
"2021-8-1","315.50","319.50","322.00","313.00","","-1.25%"
"2021-7-1","319.50","292.50","322.00","290.00","","9.23%"
"2021-6-1","292.50","287.50","295.00","280.00","","1.74%"
"2021-5-1","287.50","302.50","305.00","285.00","","-4.96%"
"2021-4-1","302.50","342.50","345.00","300.00","","-11.68%"
"2021-3-1","342.50","327.50","377.00","325.00","","7.20%"
"2021-2-1","319.50","282.50","322.00","280.00","","13.10%"
"2021-1-1","282.50","227.50","285.00","225.00","","24.18%"
"2020-12-1","227.50","223.50","230.00","221.00","","1.79%"
"2020-11-1","223.50","222.50","226.00","220.00","","0.45%"
"2020-10-1","222.50","223.50","226.00","220.00","","-0.45%"
"2020-9-1","223.50","230.50","233.00","221.00","","-3.04%"
"2020-8-1","230.50","202.50","233.00","200.00","","14.39%"
"2020-7-1","201.50","194.50","204.00","188.00","","3.60%"
"2020-6-1","194.50","197.50","200.00","192.00","","-1.52%"
"2020-5-1","197.50","196.50","200.00","194.00","","0.51%"
"2020-4-1","196.50","209.50","212.00","194.00","","-6.21%"
"2020-3-1","209.50","217.50","225.00","207.00","","-5.84%"
"2020-2-1","222.50","222.50","225.00","199.00","","10.42%"
"2020-1-1","201.50","201.50","204.00","198.00","","0.50%"
"2019-12-1","200.50","200.50","220.00","198.00","","-7.82%"
"2019-11-1","217.50","217.50","242.00","215.00","","-9.19%"
"2019-10-1","239.50","239.50","251.00","232.00","","2.13%"
"2019-9-1","234.50","234.50","237.00","208.00","","11.40%"
"2019-8-1","210.50","210.50","213.00","180.00","","15.34%"
"2019-7-1","182.50","182.50","203.00","180.00","","-10.76%"
"2019-6-1","204.50","204.50","233.00","202.00","","-12.04%"
"2019-5-1","232.50","232.50","245.00","230.00","","-4.12%"
"2019-4-1","242.50","242.50","245.00","235.00","","1.89%"
"2019-3-1","238.00","238.00","250.00","235.00","","-4.03%"
"2019-2-1","248.00","248.00","288.00","245.00","","-12.98%"
"2019-1-1","285.00","285.00","289.00","282.00","","-1.04%"
"2018-12-1","288.00","288.00","315.00","285.00","","-7.69%"
"2018-11-1","312.00","312.00","340.00","309.00","","-7.42%"
"2018-10-1","337.00","337.00","366.00","334.00","","-7.16%"
"2018-9-1","363.00","363.00","380.00","360.00","","-3.71%"
"2018-8-1","377.00","377.00","421.00","374.00","","-9.81%"
"2018-7-1","418.00","418.00","443.00","415.00","","-5.00%"
"2018-6-1","440.00","440.00","490.00","437.00","","-9.65%"
"2018-5-1","487.00","487.00","515.00","484.00","","-4.88%"
"2018-4-1","512.00","512.00","515.00","498.00","","2.20%"
"2018-3-1","501.00","501.00","504.00","450.00","","12.08%"
"2018-2-1","447.00","447.00","450.00","427.00","","3.95%"
"2018-1-1","430.00","430.00","433.00","404.00","","5.65%"
"2017-12-1","407.00","407.00","410.00","398.00","","1.50%"
"2017-11-1","401.00","401.00","404.00","396.00","","0.50%"
"2017-10-1","399.00","399.00","402.00","392.00","","1.01%"
"2017-9-1","395.00","395.00","398.00","392.00","","0.00%"
"2017-8-1","395.00","395.00","398.00","378.00","","3.67%"
"2017-7-1","381.00","381.00","390.00","378.00","","-1.55%"
"2017-6-1","387.00","387.00","390.00","384.00","","-1.53%"
"2017-5-1","393.00","393.00","410.00","390.00","","-2.96%"
"2017-4-1","405.00","405.00","408.00","402.00","","0.00%"
"2017-3-1","405.00","405.00","412.00","393.00","","2.27%"
"2017-2-1","396.00","396.00","400.00","230.00","","69.96%"
"2017-1-1","233.00","233.00","237.00","225.00","","2.19%"
"2016-12-1","228.00","228.00","232.00","203.00","","10.68%"
"2016-11-1","206.00","206.00","210.00","195.00","","4.04%"
"2016-10-1","198.00","198.00","202.00","186.00","","4.76%"
"2016-9-1","189.00","189.00","193.00","186.00","","0.00%"
"2016-8-1","189.00","189.00","196.00","186.00","","-1.56%"
"2016-7-1","192.00","192.00","200.00","189.00","","-2.29%"
"2016-6-1","196.50","196.50","202.00","193.00","","-1.01%"
"2016-5-1","198.50","198.50","207.00","195.00","","-2.46%"
"2016-4-1","203.50","203.50","215.00","200.00","","-3.78%"
"2016-3-1","211.50","211.50","215.00","205.00","","2.42%"
"2016-2-1","206.50","206.50","210.00","195.00","","4.03%"
"2016-1-1","198.50","198.50","202.00","175.00","","11.83%"
"2015-12-1","177.50","177.50","180.00","168.00","","4.72%"
"2015-11-1","169.50","169.50","172.00","163.00","","2.42%"
"2015-10-1","165.50","165.50","168.00","160.00","","1.85%"
"2015-9-1","162.50","162.50","170.00","160.00","","-2.99%"
"2015-8-1","167.50","167.50","170.00","165.00","","0.00%"
"2015-7-1","167.50","167.50","173.00","165.00","","-1.76%"
"2015-6-1","170.50","170.50","174.00","168.00","","-0.58%"
"2015-5-1","171.50","171.50","174.00","167.00","","1.18%"
"2015-4-1","169.50","169.50","172.00","162.00","","3.04%"
"2015-3-1","164.50","164.50","175.00","162.00","","-4.64%"
"2015-2-1","172.50","172.50","175.00","170.00","","0.00%"
"2015-1-1","172.50","172.50","175.00","167.00","","1.77%"
"2014-12-1","169.50","169.50","172.00","164.00","","1.80%"
"2014-11-1","166.50","166.50","171.00","164.00","","-1.19%"
"2014-10-1","168.50","168.50","173.00","166.00","","-1.17%"
"2014-9-1","170.50","170.50","173.00","168.00","","0.00%"
"2014-8-1","170.50","170.50","173.00","168.00","","0.00%"
"2014-7-1","170.50","170.50","173.00","165.00","","1.79%"
"2014-6-1","167.50","167.50","170.00","165.00","","0.00%"
"2014-5-1","167.50","167.50","173.00","165.00","","-1.76%"
"2014-4-1","170.50","170.50","175.00","168.00","","-1.16%"
"2014-3-1","172.50","172.50","175.00","168.00","","1.17%"
"2014-2-1","170.50","170.50","173.00","168.00","","0.00%"
"2014-1-1","170.50","170.50","174.00","168.00","","-0.58%"
"2013-12-1","171.50","171.50","175.00","169.00","","-0.58%"
"2013-11-1","172.50","172.50","180.00","170.00","","-2.82%"
"2013-10-1","177.50","177.50","183.00","175.00","","-1.66%"
"2013-9-1","180.50","180.50","183.00","178.00","","0.00%"
"2013-8-1","180.50","180.50","185.00","178.00","","-1.10%"
"2013-7-1","182.50","182.50","185.00","180.00","","0.00%"
"2013-6-1","182.50","182.50","185.00","179.00","","0.55%"
"2013-5-1","181.50","181.50","184.00","178.00","","0.55%"
"2013-4-1","180.50","180.50","183.00","178.00","","0.00%"
"2013-3-1","180.50","180.50","184.00","178.00","","-0.55%"
"2013-2-1","181.50","181.50","184.00","179.00","","0.00%"
"2013-1-1","181.50","181.50","184.00","178.00","","0.55%"
