"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-12","237.50","237.50","240.00","235.00","","0.00%"
"2023-5-11","237.50","237.50","240.00","235.00","","0.00%"
"2023-5-10","237.50","237.50","240.00","235.00","","2.15%"
"2023-5-9","232.50","232.50","235.00","230.00","","0.00%"
"2023-5-8","232.50","232.50","235.00","230.00","","0.00%"
"2023-5-5","232.50","232.50","235.00","230.00","","0.00%"
"2023-5-4","232.50","232.50","235.00","230.00","","0.00%"
"2023-4-28","232.50","232.50","235.00","230.00","","0.00%"
"2023-4-27","232.50","232.50","235.00","230.00","","0.00%"
"2023-4-26","232.50","232.50","235.00","230.00","","-2.11%"
"2023-4-25","237.50","237.50","240.00","235.00","","0.00%"
"2023-4-24","237.50","237.50","240.00","235.00","","0.00%"
"2023-4-21","237.50","237.50","240.00","235.00","","0.00%"
"2023-4-20","237.50","237.50","240.00","235.00","","-2.06%"
"2023-4-19","242.50","242.50","245.00","240.00","","0.00%"
"2023-4-18","242.50","242.50","245.00","240.00","","-2.02%"
"2023-4-17","247.50","247.50","250.00","245.00","","0.00%"
