"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-7","237.50","232.50","240.00","230.00","","2.15%"
"2023-4-30","232.50","232.50","235.00","230.00","","0.00%"
"2023-4-23","232.50","237.50","240.00","230.00","","-2.11%"
"2023-4-16","237.50","247.50","250.00","235.00","","-4.04%"
"2023-4-9","247.50","262.50","265.00","245.00","","-7.48%"
"2023-4-2","267.50","272.50","275.00","265.00","","-1.83%"
"2023-3-26","272.50","287.50","290.00","270.00","","-5.22%"
"2023-3-19","287.50","302.50","305.00","285.00","","-4.96%"
"2023-3-12","302.50","317.50","320.00","300.00","","-4.72%"
"2023-3-5","317.50","317.50","320.00","315.00","","-1.55%"
"2023-2-26","322.50","327.50","330.00","320.00","","-2.42%"
"2023-2-19","330.50","340.50","343.00","328.00","","-3.50%"
"2023-2-12","342.50","352.50","355.00","340.00","","-2.84%"
"2023-2-5","352.50","367.50","370.00","350.00","","-8.80%"
"2023-1-29","386.50","407.50","410.00","384.00","","-5.62%"
"2023-1-15","409.50","409.50","412.00","407.00","","0.00%"
"2023-1-8","409.50","412.50","415.00","407.00","","-0.97%"
"2023-1-1","413.50","427.50","430.00","411.00","","-3.27%"
"2022-12-25","427.50","430.50","433.00","425.00","","-1.16%"
"2022-12-18","432.50","442.50","445.00","430.00","","-2.26%"
"2022-12-11","442.50","452.50","455.00","440.00","","-2.21%"
"2022-12-4","452.50","457.50","460.00","450.00","","-1.09%"
"2022-11-27","457.50","459.50","462.00","455.00","","-0.44%"
"2022-11-20","459.50","459.50","462.00","457.00","","0.00%"
"2022-11-13","459.50","460.50","463.00","457.00","","-0.22%"
"2022-11-6","460.50","459.50","463.00","457.00","","0.22%"
"2022-10-30","459.50","459.50","462.00","457.00","","0.44%"
"2022-10-23","457.50","457.50","460.00","455.00","","0.00%"
"2022-10-16","457.50","447.50","460.00","445.00","","2.23%"
"2022-10-9","447.50","444.50","450.00","442.00","","1.13%"
"2022-9-25","442.50","442.50","445.00","440.00","","1.84%"
"2022-9-18","434.50","434.50","437.00","432.00","","0.00%"
"2022-9-11","434.50","429.50","437.00","427.00","","1.16%"
"2022-9-4","429.50","415.50","432.00","413.00","","4.12%"
"2022-8-28","412.50","407.50","415.00","405.00","","1.23%"
"2022-8-21","407.50","405.50","410.00","403.00","","1.24%"
"2022-8-14","402.50","397.50","405.00","395.00","","1.26%"
"2022-8-7","397.50","397.50","402.00","395.00","","-1.97%"
