"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-7","207,500.00","192,500.00","210,000.00","190,000.00","","13.70%"
"2023-4-30","182,500.00","177,500.00","185,000.00","175,000.00","","2.82%"
"2023-4-23","177,500.00","165,500.00","180,000.00","163,000.00","","2.90%"
"2023-4-16","172,500.00","187,500.00","190,000.00","170,000.00","","-10.39%"
"2023-4-9","192,500.00","212,500.00","215,000.00","190,000.00","","-11.49%"
"2023-4-2","217,500.00","223,500.00","226,000.00","215,000.00","","-5.23%"
"2023-3-26","229,500.00","260,500.00","263,000.00","227,000.00","","-14.53%"
"2023-3-19","268,500.00","299,500.00","302,000.00","266,000.00","","-12.68%"
"2023-3-12","307,500.00","332,500.00","335,000.00","305,000.00","","-7.52%"
"2023-3-5","332,500.00","340,500.00","343,000.00","330,000.00","","-6.99%"
"2023-2-26","357,500.00","365,500.00","368,000.00","355,000.00","","-6.54%"
"2023-2-19","382,500.00","422,500.00","425,000.00","380,000.00","","-10.53%"
"2023-2-12","427,500.00","449,500.00","452,000.00","425,000.00","","-4.89%"
"2023-2-5","449,500.00","460,500.00","463,000.00","447,000.00","","-2.39%"
"2023-1-29","460,500.00","477,500.00","480,000.00","458,000.00","","-3.56%"
"2023-1-15","477,500.00","480,500.00","483,000.00","475,000.00","","-0.62%"
"2023-1-8","480,500.00","492,500.00","495,000.00","478,000.00","","-4.38%"
"2023-1-1","502,500.00","519,500.00","522,000.00","500,000.00","","-3.27%"
"2022-12-25","519,500.00","536,500.00","539,000.00","517,000.00","","-3.35%"
"2022-12-18","537,500.00","553,500.00","556,000.00","535,000.00","","-3.07%"
"2022-12-11","554,500.00","567,500.00","570,000.00","552,000.00","","-2.46%"
"2022-12-4","568,500.00","577,500.00","580,000.00","566,000.00","","-1.56%"
"2022-11-27","577,500.00","577,500.00","580,000.00","575,000.00","","0.00%"
"2022-11-20","577,500.00","590,500.00","593,000.00","575,000.00","","-2.37%"
"2022-11-13","591,500.00","597,500.00","600,000.00","589,000.00","","-1.00%"
"2022-11-6","597,500.00","589,500.00","600,000.00","587,000.00","","1.70%"
"2022-10-30","587,500.00","572,500.00","590,000.00","570,000.00","","4.07%"
"2022-10-23","564,500.00","552,500.00","567,000.00","550,000.00","","2.17%"
"2022-10-16","552,500.00","542,500.00","555,000.00","540,000.00","","2.79%"
"2022-10-9","537,500.00","517,500.00","540,000.00","515,000.00","","5.29%"
"2022-9-25","510,500.00","510,500.00","513,000.00","508,000.00","","1.79%"
"2022-9-18","501,500.00","500,500.00","504,000.00","498,000.00","","0.20%"
"2022-9-11","500,500.00","497,500.00","503,000.00","495,000.00","","0.60%"
"2022-9-4","497,500.00","494,500.00","500,000.00","492,000.00","","1.02%"
"2022-8-28","492,500.00","492,500.00","495,000.00","490,000.00","","0.00%"
"2022-8-21","492,500.00","484,500.00","495,000.00","482,000.00","","2.28%"
"2022-8-14","481,500.00","478,500.00","484,000.00","476,000.00","","0.84%"
"2022-8-7","477,500.00","476,500.00","480,000.00","474,000.00","","0.21%"
"2022-7-31","476,500.00","476,500.00","479,000.00","474,000.00","","0.00%"
"2022-7-24","476,500.00","475,500.00","479,000.00","473,000.00","","0.21%"
"2022-7-17","475,500.00","475,500.00","478,000.00","473,000.00","","0.00%"
"2022-7-10","475,500.00","475,500.00","478,000.00","473,000.00","","0.00%"
"2022-7-3","475,500.00","475,500.00","478,000.00","473,000.00","","0.00%"
"2022-6-26","475,500.00","477,500.00","480,000.00","473,000.00","","-0.42%"
"2022-6-19","477,500.00","477,500.00","480,000.00","475,000.00","","0.00%"
"2022-6-12","477,500.00","477,500.00","480,000.00","475,000.00","","0.63%"
"2022-6-5","474,500.00","472,500.00","477,000.00","470,000.00","","1.28%"
"2022-5-29","468,500.00","468,500.00","471,000.00","466,000.00","","0.21%"
"2022-5-22","467,500.00","457,500.00","470,000.00","455,000.00","","2.19%"
"2022-5-15","457,500.00","457,500.00","460,000.00","455,000.00","","0.00%"
"2022-5-8","457,500.00","457,500.00","460,000.00","455,000.00","","-1.08%"
"2022-4-24","462,500.00","474,500.00","477,000.00","460,000.00","","-3.55%"
"2022-4-17","479,500.00","482,500.00","485,000.00","477,000.00","","-0.62%"
"2022-4-10","482,500.00","482,500.00","485,000.00","480,000.00","","-2.82%"
"2022-4-3","496,500.00","496,500.00","499,000.00","494,000.00","","0.00%"
"2022-3-27","496,500.00","0.00","0.00","0.00","","-0.20%"
"2022-3-20","497,500.00","497,500.00","500,000.00","495,000.00","","0.00%"
"2022-3-13","497,500.00","493,500.00","500,000.00","491,000.00","","0.81%"
"2022-3-6","493,500.00","493,500.00","496,000.00","491,000.00","","0.00%"
"2022-2-27","493,500.00","483,500.00","496,000.00","481,000.00","","2.92%"
"2022-2-20","479,500.00","447,500.00","482,000.00","445,000.00","","9.60%"
"2022-2-13","437,500.00","397,500.00","440,000.00","395,000.00","","11.46%"
"2022-2-6","392,500.00","382,500.00","395,000.00","380,000.00","","3.97%"
"2022-1-23","377,500.00","367,500.00","380,000.00","365,000.00","","5.30%"
"2022-1-16","358,500.00","327,500.00","361,000.00","325,000.00","","9.47%"
"2022-1-9","327,500.00","306,500.00","330,000.00","304,000.00","","9.72%"
"2022-1-2","298,500.00","277,500.00","301,000.00","275,000.00","","7.57%"
"2021-12-26","277,500.00","268,500.00","280,000.00","266,000.00","","6.12%"
"2021-12-19","261,500.00","242,500.00","264,000.00","240,000.00","","11.04%"
"2021-12-12","235,500.00","227,500.00","238,000.00","225,000.00","","5.84%"
"2021-12-5","222,500.00","204,500.00","225,000.00","202,000.00","","8.80%"
"2021-11-28","204,500.00","198,500.00","207,000.00","196,000.00","","3.02%"
"2021-11-21","198,500.00","197,500.00","201,000.00","195,000.00","","0.51%"
"2021-11-14","197,500.00","195,500.00","200,000.00","193,000.00","","1.02%"
"2021-11-7","195,500.00","194,500.00","198,000.00","192,000.00","","0.51%"
"2021-10-31","194,500.00","192,500.00","197,000.00","190,000.00","","1.04%"
"2021-10-24","192,500.00","185,500.00","195,000.00","183,000.00","","5.48%"
"2021-10-17","182,500.00","181,000.00","185,000.00","180,000.00","","0.83%"
"2021-10-10","181,000.00","178,000.00","182,000.00","177,000.00","","2.84%"
"2021-9-26","176,000.00","171,000.00","177,000.00","170,000.00","","6.67%"
