"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-12","207,500.00","207,500.00","210,000.00","205,000.00","","0.00%"
"2023-5-11","207,500.00","207,500.00","210,000.00","205,000.00","","2.47%"
"2023-5-10","202,500.00","202,500.00","205,000.00","200,000.00","","2.53%"
"2023-5-9","197,500.00","197,500.00","200,000.00","195,000.00","","2.60%"
"2023-5-8","192,500.00","192,500.00","195,000.00","190,000.00","","5.48%"
"2023-5-5","182,500.00","182,500.00","185,000.00","180,000.00","","2.82%"
"2023-5-4","177,500.00","177,500.00","180,000.00","175,000.00","","0.00%"
"2023-4-28","177,500.00","177,500.00","180,000.00","175,000.00","","2.90%"
"2023-4-27","172,500.00","172,500.00","175,000.00","170,000.00","","2.99%"
"2023-4-26","167,500.00","167,500.00","170,000.00","165,000.00","","1.21%"
"2023-4-25","165,500.00","165,500.00","168,000.00","163,000.00","","0.00%"
"2023-4-24","165,500.00","165,500.00","168,000.00","163,000.00","","-4.06%"
"2023-4-21","172,500.00","172,500.00","175,000.00","170,000.00","","-2.82%"
"2023-4-20","177,500.00","177,500.00","180,000.00","175,000.00","","0.00%"
"2023-4-19","177,500.00","177,500.00","180,000.00","175,000.00","","-2.74%"
"2023-4-18","182,500.00","182,500.00","185,000.00","180,000.00","","-2.67%"
"2023-4-17","187,500.00","187,500.00","190,000.00","185,000.00","","-2.60%"
"2023-4-14","192,500.00","192,500.00","195,000.00","190,000.00","","-2.53%"
"2023-4-13","197,500.00","197,500.00","200,000.00","195,000.00","","-2.47%"
"2023-4-12","202,500.00","202,500.00","205,000.00","200,000.00","","-2.41%"
"2023-4-11","207,500.00","207,500.00","210,000.00","205,000.00","","-2.35%"
"2023-4-10","212,500.00","212,500.00","215,000.00","210,000.00","","-2.30%"
"2023-4-7","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"2023-4-6","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"2023-4-4","217,500.00","217,500.00","220,000.00","215,000.00","","-2.68%"
"2023-4-3","223,500.00","223,500.00","226,000.00","221,000.00","","-2.61%"
"2023-3-31","229,500.00","229,500.00","232,000.00","227,000.00","","-2.96%"
"2023-3-30","236,500.00","236,500.00","239,000.00","234,000.00","","-2.87%"
"2023-3-29","243,500.00","243,500.00","246,000.00","241,000.00","","-3.94%"
"2023-3-28","253,500.00","253,500.00","256,000.00","251,000.00","","-2.69%"
"2023-3-27","260,500.00","260,500.00","263,000.00","258,000.00","","-2.98%"
"2023-3-24","268,500.00","268,500.00","271,000.00","266,000.00","","-2.89%"
"2023-3-23","276,500.00","276,500.00","279,000.00","274,000.00","","-2.81%"
"2023-3-22","284,500.00","284,500.00","287,000.00","282,000.00","","-2.74%"
"2023-3-21","292,500.00","292,500.00","295,000.00","290,000.00","","-2.34%"
"2023-3-20","299,500.00","299,500.00","302,000.00","297,000.00","","-2.60%"
"2023-3-17","307,500.00","307,500.00","310,000.00","305,000.00","","-1.60%"
"2023-3-16","312,500.00","312,500.00","315,000.00","310,000.00","","-2.19%"
"2023-3-15","319,500.00","319,500.00","322,000.00","317,000.00","","-2.44%"
"2023-3-14","327,500.00","327,500.00","330,000.00","325,000.00","","-1.50%"
"2023-3-13","332,500.00","332,500.00","335,000.00","330,000.00","","0.00%"
"2023-3-10","332,500.00","332,500.00","335,000.00","330,000.00","","-1.48%"
"2023-3-9","337,500.00","337,500.00","340,000.00","335,000.00","","-0.88%"
"2023-3-8","340,500.00","340,500.00","343,000.00","338,000.00","","-2.85%"
"2023-3-7","350,500.00","350,500.00","353,000.00","348,000.00","","-1.96%"
"2023-3-6","357,500.00","357,500.00","360,000.00","355,000.00","","0.00%"
"2023-3-3","357,500.00","357,500.00","360,000.00","355,000.00","","-1.38%"
"2023-3-2","362,500.00","362,500.00","365,000.00","360,000.00","","-0.82%"
"2023-3-1","365,500.00","365,500.00","368,000.00","363,000.00","","-1.35%"
"2023-2-28","370,500.00","370,500.00","373,000.00","368,000.00","","-3.14%"
"2023-2-27","382,500.00","382,500.00","385,000.00","380,000.00","","0.00%"
"2023-2-24","382,500.00","382,500.00","385,000.00","380,000.00","","-2.80%"
"2023-2-23","393,500.00","393,500.00","396,000.00","391,000.00","","-2.96%"
"2023-2-22","405,500.00","405,500.00","408,000.00","403,000.00","","-2.87%"
"2023-2-21","417,500.00","417,500.00","420,000.00","415,000.00","","-1.18%"
"2023-2-20","422,500.00","422,500.00","425,000.00","420,000.00","","-1.17%"
"2023-2-17","427,500.00","427,500.00","430,000.00","425,000.00","","-2.73%"
"2023-2-16","439,500.00","439,500.00","442,000.00","437,000.00","","-2.22%"
"2023-2-14","449,500.00","449,500.00","452,000.00","447,000.00","","0.00%"
"2023-2-13","449,500.00","449,500.00","452,000.00","447,000.00","","0.00%"
"2023-2-10","449,500.00","449,500.00","452,000.00","447,000.00","","-0.88%"
"2023-2-9","453,500.00","453,500.00","456,000.00","451,000.00","","-0.44%"
"2023-2-8","455,500.00","455,500.00","458,000.00","453,000.00","","-1.09%"
"2023-2-7","460,500.00","460,500.00","463,000.00","458,000.00","","0.00%"
"2023-2-6","460,500.00","460,500.00","463,000.00","458,000.00","","0.00%"
"2023-2-3","460,500.00","460,500.00","463,000.00","458,000.00","","-1.50%"
