"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-5-1","207,500.00","177,500.00","210,000.00","175,000.00","","16.90%"
"2023-4-1","177,500.00","223,500.00","226,000.00","163,000.00","","-22.66%"
"2023-3-1","229,500.00","365,500.00","368,000.00","227,000.00","","-38.06%"
"2023-2-1","370,500.00","472,500.00","475,000.00","368,000.00","","-21.92%"
"2023-1-1","474,500.00","519,500.00","522,000.00","472,000.00","","-8.66%"
"2022-12-1","519,500.00","577,500.00","580,000.00","517,000.00","","-10.04%"
"2022-11-1","577,500.00","572,500.00","600,000.00","570,000.00","","2.12%"
"2022-10-1","565,500.00","517,500.00","568,000.00","515,000.00","","10.77%"
"2022-9-1","510,500.00","492,500.00","513,000.00","490,000.00","","3.65%"
"2022-8-1","492,500.00","476,500.00","495,000.00","474,000.00","","3.36%"
"2022-7-1","476,500.00","475,500.00","479,000.00","473,000.00","","0.21%"
"2022-6-1","475,500.00","468,500.00","480,000.00","466,000.00","","1.49%"
"2022-5-1","468,500.00","457,500.00","471,000.00","455,000.00","","1.30%"
"2022-4-1","462,500.00","496,500.00","499,000.00","460,000.00","","-6.85%"
"2022-3-1","496,500.00","483,500.00","500,000.00","481,000.00","","2.69%"
"2022-2-1","483,500.00","382,500.00","486,000.00","380,000.00","","28.08%"
"2022-1-1","377,500.00","277,500.00","380,000.00","275,000.00","","36.04%"
"2021-12-1","277,500.00","200,500.00","280,000.00","198,000.00","","39.80%"
"2021-11-1","198,500.00","192,500.00","201,000.00","190,000.00","","3.12%"
"2021-10-1","192,500.00","178,000.00","195,000.00","177,000.00","","9.38%"
"2021-9-1","176,000.00","120,000.00","177,000.00","119,000.00","","50.43%"
"2021-8-1","117,000.00","91,000.00","118,000.00","90,000.00","","28.57%"
"2021-7-1","91,000.00","87,000.00","92,000.00","86,000.00","","4.60%"
"2021-6-1","87,000.00","89,000.00","90,000.00","86,000.00","","-2.25%"
"2021-5-1","89,000.00","89,000.00","90,000.00","88,000.00","","0.00%"
"2021-4-1","89,000.00","89,000.00","90,000.00","88,000.00","","1.14%"
"2021-3-1","88,000.00","81,500.00","89,000.00","80,500.00","","8.64%"
"2021-2-1","81,000.00","72,000.00","82,000.00","71,000.00","","12.50%"
"2021-1-1","72,000.00","53,000.00","73,000.00","52,000.00","","37.14%"
"2020-12-1","52,500.00","44,000.00","53,500.00","43,000.00","","19.32%"
"2020-11-1","44,000.00","41,000.00","45,000.00","40,000.00","","7.32%"
"2020-10-1","41,000.00","40,500.00","42,000.00","39,500.00","","1.23%"
"2020-9-1","40,500.00","39,800.00","41,500.00","38,800.00","","1.76%"
"2020-8-1","39,800.00","39,500.00","40,800.00","38,500.00","","0.76%"
"2020-7-1","39,500.00","40,500.00","42,000.00","38,500.00","","-2.47%"
"2020-6-1","40,500.00","42,500.00","44,000.00","39,000.00","","-4.71%"
"2020-5-1","42,500.00","45,000.00","46,500.00","41,000.00","","-5.56%"
