TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,86968,FALSE,-1,N/A,,FALSE,86968,FALSE,,FALSE,583436,,583436,0,TRUE,FALSE
C,A,20130101,2013,52,2013,50,BGD,Bangladesh,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,500,FALSE,-1,N/A,,FALSE,500,FALSE,,FALSE,6602,,6602,0,TRUE,FALSE
C,A,20130101,2013,52,2013,56,BEL,Belgium,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,304,FALSE,8,kg,304,FALSE,304,FALSE,0,FALSE,1979.552,0,1979.552,0,TRUE,FALSE
C,A,20130101,2013,52,2013,56,BEL,Belgium,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9.25,TRUE,-1,N/A,0,FALSE,9.25,TRUE,0,FALSE,0,65.737,65.737,6,TRUE,FALSE
C,A,20130101,2013,52,2013,112,BLR,Belarus,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6425,FALSE,-1,N/A,,FALSE,6425,FALSE,,FALSE,52900,,52900,0,TRUE,FALSE
C,A,20130101,2013,52,2013,12,DZA,Algeria,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,283691,Carbonates; lithium carbonate,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,24,FALSE,-1,N/A,,FALSE,24,FALSE,,FALSE,617,,617,0,TRUE,FALSE
C,A,20130101,2013,52,2013,24,AGO,Angola,M,Import,156,CHN,China,0,W00,World,H3,HS,TRUE,283691,Carbonates; lithium carbonate,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,438,FALSE,-1,N/A,,FALSE,438,FALSE,,FALSE,1232,,1232,0,TRUE,FALSE
C,A,20130101,2013,52,2013,32,ARG,Argentina,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,283691,Carbonates; lithium carbonate,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2889000,FALSE,-1,N/A,,FALSE,2889000,FALSE,,FALSE,,12746949,12746949,0,TRUE,FALSE
C,A,20130101,2013,52,2013,36,AUS,Australia,M,Import,156,CHN,China,0,W00,World,H4,HS,TRUE,283691,Carbonates; lithium carbonate,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,73345,FALSE,-1,N/A,,FALSE,73345,FALSE,,FALSE,955232,,955232,0,TRUE,FALSE
C,A,20130101,2013,52,2013,40,AUT,Austria,X,Export,156,CHN,China,0,W00,World,H4,HS,TRUE,283691,Carbonates; lithium carbonate,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1500,FALSE,-1,N/A,,FALSE,1500,FALSE,,FALSE,,12483,12483,0,TRUE,FALSE
